,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
352,Pauini,BR,-7.7136,-66.9764,27.31,64,68,2.1,broken clouds
353,Camacha,PT,33.0833,-16.3333,15.68,63,75,2.57,broken clouds
354,Nenjiang,CN,49.1833,125.2167,-33.02,98,7,1.78,clear sky
355,Marica,BR,-22.9194,-42.8186,29.01,72,100,2.78,overcast clouds
356,Sterlibashevo,RU,53.4376,55.2578,-18.1,87,100,2.97,overcast clouds
357,Tiznit,MA,29.5833,-9.5,20.51,30,0,4.43,clear sky
358,Najran,SA,17.4924,44.1277,22.68,34,86,3.23,overcast clouds
359,Hartselle,US,34.4434,-86.9353,2.68,89,41,4.68,scattered clouds
360,Mandalgovi,MN,45.7625,106.2708,-19.16,60,0,3.89,clear sky
361,Athens,GR,37.9795,23.7162,13.99,68,20,2.06,few clouds
362,Kelvington,CA,52.1667,-103.5343,-8.54,94,100,6.42,overcast clouds
363,Kondol,RU,52.8189,45.058,-11.52,80,81,5.17,broken clouds
364,Ahipara,NZ,-35.1667,173.1667,14.69,92,7,2.08,clear sky
365,Antofagasta,CL,-23.65,-70.4,22.46,68,35,3.91,scattered clouds
366,Uddiawan,PH,16.5589,121.1512,21.73,90,94,0.62,overcast clouds
367,Morbach,DE,49.8167,7.1167,7.52,92,75,8.75,light rain
368,Nanortalik,GL,60.1432,-45.2371,-3.18,74,100,3.76,light snow
369,Katsuura,JP,35.1333,140.3,13.55,77,99,5.41,overcast clouds
370,Sabanalarga,CO,10.6296,-74.9206,30.03,58,78,1.74,light rain
371,Gimli,CA,50.6336,-96.9907,-8.85,96,100,3.28,overcast clouds
372,Severobaykalsk,RU,55.65,109.3167,-21.54,90,89,2.81,overcast clouds
373,Duvan,RU,55.695,57.9024,-12.45,77,100,6.29,overcast clouds
374,Evensk,RU,61.95,159.2333,-12.17,67,100,9.62,overcast clouds
375,Chodavaram,IN,17.8333,82.95,21.91,81,4,1.46,clear sky
376,Kholodnyy,RU,62.7167,147.95,-38.8,99,96,1.91,overcast clouds
377,Shimoda,JP,34.6667,138.95,12.84,86,95,4.26,overcast clouds
378,Zavyalovo,RU,54.5053,82.4484,-10.16,86,100,10.82,overcast clouds
379,Longonjo,AO,-12.9067,15.2533,21.07,86,98,1.46,moderate rain
380,Fruitvale,US,39.0817,-108.4968,1.96,93,40,0.0,scattered clouds
381,Velsk,RU,61.0701,42.0983,-2.67,93,100,5.07,light snow
382,Yumen,CN,40.2833,97.2,-15.25,85,32,6.52,scattered clouds
383,Miraflores,MX,19.2167,-98.8083,13.32,39,0,1.19,clear sky
384,Maragogi,BR,-9.0122,-35.2225,28.28,68,30,5.51,scattered clouds
385,Tucuman,AR,-26.8241,-65.2226,31.6,28,0,2.57,clear sky
386,Balkhash,KZ,46.844,74.9804,-20.51,94,52,0.72,broken clouds
387,Edd,ER,13.9297,41.6925,29.19,50,10,10.38,clear sky
388,Chupa,RU,66.27,33.0549,1.37,97,100,4.33,overcast clouds
389,Kalaiya,NP,27.0327,85.0022,15.21,66,0,3.13,clear sky
390,Ugoofaaru,MV,5.6667,73.0,26.65,70,89,3.77,overcast clouds
391,Kenora,CA,49.8167,-94.4337,-9.01,85,99,4.02,overcast clouds
392,Baft,IR,29.234,56.6057,2.73,55,2,2.2,clear sky
393,Tahoua,NE,14.8888,5.2692,28.15,9,75,6.32,broken clouds
394,Lorengau,PG,-2.0226,147.2712,27.63,78,100,3.88,overcast clouds
395,Zharkent,KZ,44.1628,80.0,-20.87,82,1,1.64,clear sky
396,Moerai,PF,-22.4333,-151.3333,25.32,86,100,11.54,moderate rain
397,Sayyan,YE,15.1718,44.3244,15.33,49,36,0.68,scattered clouds
398,Tatishchevo,RU,51.6703,45.5953,-11.96,92,19,3.51,few clouds
399,Tongzi,CN,28.7829,105.0877,2.67,97,100,1.76,overcast clouds
400,Pavlovsk,RU,50.4578,40.1081,-5.84,90,92,5.64,overcast clouds
401,Balakovo,RU,52.0278,47.8007,-14.39,91,13,1.95,few clouds
402,Oistins,BB,13.0667,-59.5333,25.89,73,38,7.12,light rain
403,Lethem,GY,3.3803,-59.7968,29.87,54,67,4.51,broken clouds
404,Westport,US,41.1415,-73.3579,1.88,71,100,5.14,overcast clouds
405,Karacabey,TR,40.2152,28.4038,9.21,82,88,2.15,overcast clouds
406,Divo,CI,5.8397,-5.36,35.68,22,31,1.85,scattered clouds
407,Moron,AR,-34.6534,-58.6198,33.34,21,0,0.9,clear sky
408,Curry,US,34.9528,-103.2519,8.44,24,100,9.29,overcast clouds
409,Buritis,BR,-15.6178,-46.4233,26.22,77,99,0.84,overcast clouds
410,Diez,DE,50.3667,8.0167,10.25,85,100,8.01,overcast clouds
411,Lisakovsk,KZ,52.5369,62.4936,-11.68,72,31,6.3,scattered clouds
412,Yerbogachen,RU,61.2767,108.0108,-50.77,100,72,0.29,broken clouds
413,Kibala,TD,9.1104,18.3463,33.32,13,36,1.13,scattered clouds
414,Pochutla,MX,15.7432,-96.4661,28.23,41,1,1.65,clear sky
415,Albanel,CA,48.8832,-72.4487,-11.54,64,5,2.7,clear sky
416,Gramoteino,RU,54.5368,86.3839,-12.47,92,100,8.67,snow
417,Ventspils,LV,57.3894,21.5606,5.96,93,100,8.75,overcast clouds
418,Jeremoabo,BR,-10.075,-38.4808,35.11,28,83,5.27,broken clouds
419,Zlotoryja,PL,51.1264,15.9198,5.53,61,86,4.94,overcast clouds
420,Rawson,AR,-43.3002,-65.1023,21.27,47,25,10.48,scattered clouds
421,Bara,NG,10.3744,10.7288,31.26,12,26,3.38,scattered clouds
422,Palekh,RU,56.8028,41.8572,-4.05,92,100,5.42,overcast clouds
423,Tabuk,PH,17.4189,121.4443,21.54,90,38,1.19,scattered clouds
424,Gairatganj,IN,23.4202,78.2385,14.18,46,0,2.41,clear sky
425,Kieta,PG,-6.2167,155.6333,24.5,92,100,2.82,moderate rain
426,Koslan,RU,63.4564,48.8989,-3.01,95,100,4.27,light snow
427,Sulangan,PH,11.1373,123.7228,25.38,88,100,5.58,overcast clouds
428,Pyinmana,MM,19.7333,96.2167,16.94,48,0,1.18,clear sky
429,Gudari,IN,19.35,83.7833,19.09,57,0,0.63,clear sky
430,Pevek,RU,69.7008,170.3133,-31.33,98,16,0.96,few clouds
431,Sirjan,IR,29.452,55.6814,6.04,51,3,1.05,clear sky
432,Ottumwa,US,41.02,-92.4113,-1.7,85,0,4.12,clear sky
433,Atambua,ID,-9.1061,124.8925,23.84,86,100,0.35,overcast clouds
434,Souillac,MU,-20.5167,57.5167,25.56,75,100,5.1,overcast clouds
435,Tahta,EG,26.7693,31.5021,16.35,44,7,2.99,clear sky
436,Champerico,GT,14.3,-91.9167,29.3,58,3,1.74,clear sky
437,Gotsu,JP,35.0,132.2167,10.85,87,100,5.35,overcast clouds
438,Namibe,AO,-15.1961,12.1522,25.51,70,18,6.27,few clouds
439,Beziers,FR,43.3476,3.219,12.96,76,0,1.54,clear sky
440,Beringovskiy,RU,63.05,179.3167,-21.18,96,100,6.72,overcast clouds
441,Honiara,SB,-9.4333,159.95,24.24,96,100,2.9,overcast clouds
442,Maldonado,UY,-34.6667,-54.9167,25.13,20,0,6.76,clear sky
443,Akhaldaba,GE,41.654,42.1516,5.31,72,100,2.74,overcast clouds
444,Anjiang,CN,27.3194,110.1031,3.05,90,100,3.24,overcast clouds
445,Basco,PH,20.4487,121.9702,25.6,81,99,6.06,overcast clouds
446,Beidao,CN,34.5686,105.8933,-5.5,55,100,3.39,overcast clouds
447,Morondava,MG,-20.2833,44.2833,28.47,71,100,2.24,light rain
448,Linjiang,CN,41.8069,126.9078,-18.66,96,58,0.94,broken clouds
449,Nichinan,JP,31.6,131.3667,17.35,93,99,1.54,overcast clouds
450,Kapit,MY,2.0167,112.9333,22.71,99,100,0.14,overcast clouds
451,Tooele,US,40.5308,-112.2983,6.09,66,100,3.04,overcast clouds
452,Agirish,RU,61.9247,63.0231,-10.89,93,18,2.63,few clouds
453,Jutai,BR,-5.1833,-68.9,27.55,70,100,1.0,overcast clouds
454,Rocha,UY,-34.4833,-54.3333,29.41,24,0,6.99,clear sky
455,Mogadishu,SO,2.0371,45.3438,25.68,82,28,9.74,scattered clouds
456,Toamasina,MG,-18.1667,49.3833,24.87,88,99,3.67,moderate rain
457,Buala,SB,-8.145,159.5921,24.1,91,100,1.41,moderate rain
458,Bousso,TD,10.4795,16.7117,31.93,14,77,2.59,broken clouds
459,Kokopo,PG,-4.352,152.2633,25.36,82,100,2.48,overcast clouds
460,Altamira,BR,-3.2033,-52.2064,23.16,99,100,1.22,light rain
461,Narodychi,UA,51.2029,29.0823,0.9,97,100,2.16,overcast clouds
462,Muzhi,RU,65.3667,64.6667,-10.68,91,96,3.19,overcast clouds
463,Baependi,BR,-21.9589,-44.89,25.64,72,99,2.26,overcast clouds
464,Atar,MR,20.5169,-13.0499,28.65,10,0,7.17,clear sky
465,Rzhyshchiv,UA,49.9689,31.0463,-0.6,83,100,2.78,overcast clouds
466,Jalu,LY,29.0331,21.5482,15.49,45,82,3.3,broken clouds
467,Machico,PT,32.7,-16.7667,18.4,73,75,2.06,broken clouds
468,Ayan,RU,56.45,138.1667,-31.1,63,10,7.7,clear sky
469,Mangrol,IN,21.1167,70.1167,19.43,38,1,5.32,clear sky
470,Darnah,LY,32.767,22.6367,15.12,65,100,4.89,overcast clouds
471,Palmeira,BR,-25.4294,-50.0064,23.86,70,91,3.91,overcast clouds
472,Alofi,NU,-19.0595,-169.9187,25.29,74,96,2.8,overcast clouds
473,Georgiyevka,KZ,43.0369,74.7114,-22.98,84,4,1.0,fog
474,Kefamenanu,ID,-9.4467,124.4781,22.56,90,99,1.11,overcast clouds
475,Pangkalanbuun,ID,-2.6833,111.6167,23.79,94,99,1.46,light rain
476,Kapoeta,SS,4.7717,33.5903,31.79,16,0,6.26,clear sky
477,Sechura,PE,-5.5569,-80.8222,26.26,52,27,2.38,scattered clouds
478,Togur,RU,58.3631,82.8265,-10.46,95,100,3.78,light snow
479,Aklavik,CA,68.2191,-135.0107,-24.24,97,100,2.39,overcast clouds
480,Grindavik,IS,63.8424,-22.4338,-5.74,58,0,3.09,clear sky
481,Bambari,CF,5.768,20.6757,35.01,14,9,1.47,clear sky
482,Lakshmipur,BD,22.95,90.8333,19.6,76,10,2.06,clear sky
483,Leshukonskoye,RU,64.8989,45.7622,-1.95,94,100,4.15,overcast clouds
484,Bairiki,KI,1.3292,172.9752,27.0,83,40,3.6,scattered clouds
485,Betsiamites,CA,48.9413,-68.646,-6.78,67,100,4.21,overcast clouds
486,Pali,IN,25.7667,73.3333,11.66,19,0,3.86,clear sky
487,Kimbe,PG,-5.5502,150.1429,25.35,89,100,0.14,overcast clouds
488,Yining,CN,29.0361,114.5636,2.63,85,100,2.91,overcast clouds
489,Calama,CL,-22.4667,-68.9333,23.27,10,0,6.17,clear sky
490,Vaitape,PF,-16.5167,-151.75,24.56,86,100,4.39,moderate rain
491,Baherden,TM,38.4362,57.4316,-5.83,64,11,6.1,few clouds
492,Awjilah,LY,29.1081,21.2869,15.42,48,88,3.43,overcast clouds
493,Trinidad,BO,-14.8333,-64.9,24.65,87,100,1.75,overcast clouds
494,Manicore,BR,-5.8092,-61.3003,26.13,76,100,1.32,overcast clouds
495,Requena,ES,39.4883,-1.1004,15.44,45,1,4.53,clear sky
496,Sobolevo,RU,54.4299,31.8996,-1.34,97,100,5.14,light snow
497,Biltine,TD,14.5333,20.9167,27.55,14,15,3.22,few clouds
498,Marzuq,YE,14.4,46.4667,18.72,61,15,4.32,few clouds
499,Batsfjord,NO,70.6345,29.7185,-3.04,86,20,9.77,few clouds
500,Tupik,RU,54.4253,119.9327,-32.19,97,98,0.84,overcast clouds
501,Hobyo,SO,5.3505,48.5268,25.64,73,0,8.23,clear sky
502,Lodja,CD,-3.4833,23.4333,21.86,95,100,1.11,overcast clouds
503,Toropets,RU,56.4978,31.6353,-0.21,97,100,4.29,overcast clouds
504,Gizo,SB,-8.103,156.8419,25.34,86,100,1.98,light rain
505,Audru,EE,58.4086,24.3739,3.31,93,100,9.77,overcast clouds
506,Oranjestad,AW,12.524,-70.027,25.99,82,11,7.74,few clouds
507,Sillamae,EE,59.3997,27.7547,2.58,93,100,7.9,overcast clouds
508,Praya,CV,14.9215,-23.5087,27.3,50,0,6.69,clear sky
509,Ulaanbaatar,MN,47.9077,106.8832,-35.93,61,0,1.0,clear sky
510,Dauriya,RU,49.9333,116.8667,-31.24,96,95,1.9,overcast clouds
511,Hofn,IS,64.2539,-15.2082,-6.33,69,78,10.31,broken clouds
512,Saint-Pierre,RE,-21.3393,55.4781,27.82,61,75,8.75,broken clouds
513,Ruteng,ID,-8.6136,120.4721,16.86,88,99,0.73,overcast clouds
514,Touros,BR,-5.1989,-35.4608,30.15,57,72,7.52,broken clouds
515,Buraydah,SA,26.326,43.975,20.71,54,90,3.09,overcast clouds
516,Nargana,PA,9.4428,-78.5906,26.45,81,99,6.7,light rain
517,Hostotipaquillo,MX,21.0667,-104.0667,19.18,25,0,1.51,clear sky
518,Mantua,IT,45.1667,10.7833,10.19,83,63,2.31,broken clouds
519,Cayenne,GF,4.9333,-52.3333,23.02,94,75,0.0,very heavy rain
520,Rongcheng,CN,30.634,117.8517,0.26,90,99,4.28,light snow
521,Spassk-Ryazanskiy,RU,54.4072,40.3806,-7.4,92,98,5.5,overcast clouds
522,Paciran,ID,-6.8767,112.3761,25.75,82,100,3.25,light rain
523,Diffa,NE,13.3154,12.6113,25.66,15,3,4.77,clear sky
524,Urengoy,RU,65.9667,78.3667,-30.08,99,62,2.77,broken clouds
525,Leeton,AU,-34.5667,146.4,22.72,41,64,4.56,broken clouds
526,Guanare,VE,9.0418,-69.7421,30.62,48,37,2.7,scattered clouds
527,Tarakan,ID,3.3,117.6333,27.33,76,100,1.59,overcast clouds
528,Thinadhoo,MV,0.5333,72.9333,26.78,68,77,5.1,broken clouds
529,Trat,TH,12.5,102.5,22.38,90,0,0.7,clear sky
530,Toora-Khem,RU,52.4675,96.11,-21.6,97,100,1.04,overcast clouds
531,Tottori,JP,35.5,134.2333,10.06,91,100,4.89,overcast clouds
532,Yakeshi,CN,49.2833,120.7333,-34.12,99,68,1.51,broken clouds
533,Tilichiki,RU,60.4667,166.1,-22.83,89,100,5.05,overcast clouds
534,Taikang,CN,46.8333,124.4167,-22.64,85,1,3.0,clear sky
535,Hami,CN,42.8,93.45,-12.88,41,29,0.57,scattered clouds
536,Port-Gentil,GA,-0.7193,8.7815,27.98,83,40,4.12,thunderstorm
537,Bluefields,NI,12.0137,-83.7635,26.12,71,49,5.24,scattered clouds
538,Daitari,IN,21.1,85.75,17.92,39,0,0.84,clear sky
539,Lewistown,US,40.5992,-77.5714,-0.42,84,100,3.6,overcast clouds
540,Warmbad,NA,-28.45,18.7333,40.8,7,0,5.24,clear sky
541,Ambulu,ID,-8.345,113.6058,24.78,89,100,0.95,overcast clouds
542,Isangel,VU,-19.55,169.2667,25.48,80,24,4.92,few clouds
543,Iwanai,JP,42.9744,140.5089,-3.56,83,100,2.01,overcast clouds
544,Avera,US,33.194,-82.5271,6.97,49,0,4.59,clear sky
545,Savinka,RU,50.0785,47.0994,-7.58,66,2,6.82,clear sky
546,Havelock,US,34.8791,-76.9013,4.99,72,100,2.68,overcast clouds
547,Hovd,MN,48.0056,91.6419,-20.88,74,74,0.88,broken clouds
548,Diapaga,BF,12.0708,1.7889,31.69,8,40,3.23,scattered clouds
549,Bahadurganj,IN,26.2667,87.8167,17.52,52,0,1.8,clear sky
550,Kargasok,RU,59.0556,80.8572,-9.63,95,100,2.75,light snow
551,Lagunillas,VE,10.1301,-71.2595,29.12,64,20,3.67,few clouds
552,Lubango,AO,-14.9172,13.4925,19.14,77,74,2.49,moderate rain
553,Gerash,IR,27.6652,54.1371,11.08,59,31,1.56,scattered clouds
554,Saint-Francois,FR,46.4154,3.9054,11.69,67,0,3.09,light rain
555,Jambi,ID,-1.6,103.6167,23.54,95,98,1.05,overcast clouds
556,Vestmannaeyjar,IS,63.4427,-20.2734,-2.45,80,20,3.09,few clouds
557,Villeta,CO,5.0089,-74.4723,29.34,85,95,0.99,overcast clouds
558,Canaries,ES,28.0,-15.5,18.98,64,20,6.17,few clouds
